Document ID : Guideline ID,VIS-11 : VIS-GL-25,VIS-6 : VIS-GL-15,VIS-5 : VIS-GL-14,CS-3 : VG-GL-3,VIS-2 : VIS-GL-5,CS-6 : VG-GL-7,VIS-6: VIS-GL-15,CS-4 : VG-GL-5,VIS-1 : VIS-GL-3,BK-2 : BK-GL-17,BK-1 : BK-GL-2,BK-1 : BK-GL-1,VIS-2 : VIS-GL-6,WB-12 : WB-GL-15,BK-2 : BK-GL-15,BK-1 : BK-GL-3,BK-3 : BK-GL-30,VIS-4 : VIS-GL-11,WB-2 : WB-GL-2,CS-1 : VG-GL-1,WB-4 : WB-GL-4,BK-3 : BK-GL-22,CS-4 : VG-GL-4,VIS-8 : VIS-GL-21,CS-10 : VG-GL-11,CS-8 : VG-GL-9,VIS-7 : VIS-GL-18,BK-1 : BK-GL-4,BK-3 : BK-GL-24,BK-2 : BK-GL-12,VIS-8 : VIS-GL-20,VIS-3 : VIS-GL-9,CS-10 : VG-GL-12,WB-3 : WB-GL-3,VIS-8 : VIS-GL-22,BK-3 : BK-GL-23,VIS-7 : VIS-GL-17,CS-15 : RED-GL-4,VIS-1 : VIS-GL-2,WB-16 : WB-GL-19,VIS-3 : VIS-GL-7,VIS-10 : VIS-GL-24,BK-2 : BK-GL-18,WB-7 : WB-GL-7,CS-2 : VG-GL-2,VIS-1 : VIS-GL-1,BK-2 : BK-GL-13,BK-1 : BK-GL-10,CS-7 : VG-GL-8,WB-9 : WB-GL-9,BK-1 : BK-GL-9,CS-14 : RED-GL-3,VIS-4 : VIS-GL-12,VIS-5 : VIS-GL-13,BK-3 : BK-GL-28,WB-11 : WB-GL-12,BK-3 : BK-GL-21,BK-2 : BK-GL-19,BK-3 : BK-GL-27,WB-8 : WB-GL-8,BK-1 : BK-GL-5,BK-3 : BK-GL-25,WB-11 : WB-GL-11,WB-14 : WB-GL-17,CS-4 : VS-GL-4,BK-3 : BK-GL-26,WB-5 : WB-GL-5,VIS-2 : VIS-GL-4,CS-13 : RED-GL-2,VIS-7 : VIS-GL-19,CS-11 : VG-GL-12,WB-11 : WB-GL-13,BK-3 : BK-GL-20,WB-17 : WB-GL-20,BK-1 : BK-GL-6,WB-11 : WB-GL-14,WB-10 : WB-GL-10,WB-6 : WB-GL-6,VIS-9 : VIS-GL-23,VIS-12 : VIS-GL-26,WB-15 : WB-GL-18,CS-9 : VG-GL-10,WB-13 : WB-GL-16,VIS-12 : VIS-GL-27,BK-2 : BK-GL-14,VIS-3 : VIS-GL-8,WB-1 : WB-GL-1,BK-2 : BK-GL-16,BK-3 : BK-GL-29,BK-1 : BK-GL-7,VIS-6 : VIS-GL-16,BK-2 : BK-GL-11,CS-12 : RED-GL-1,CS-5 : VG-GL-6,VIS-4 : VIS-GL-10,BK-1 : BK-GL-8
Goal of articulation,,Advice arising from research findings,,,,,Advice arising from research findings,,,Discussion or opinion based,,,,Discussion or opinion based,Discussion or opinion based,,Comprehensive guidance text,,Discussion or opinion based,,,Comprehensive guidance text,Discussion or opinion based,,,,,,Comprehensive guidance text,Discussion or opinion based,,,Discussion or opinion based,Discussion or opinion based,,Comprehensive guidance text,,,,Extract key findings from external source,,,Discussion or opinion based,Rephrase for new audience,,,Comprehensive guidance text,,,Discussion or opinion based,,,,,Comprehensive guidance text,Discussion or opinion based,Comprehensive guidance text,Discussion or opinion based,Comprehensive guidance text,Discussion or opinion based,,Comprehensive guidance text,Discussion or opinion based,Discussion or opinion based,Rephrase for new audience,Comprehensive guidance text,Rephrase for new audience,,,,Rephrase for new audience,Discussion or opinion based,Comprehensive guidance text,Discussion or opinion based,,Discussion or opinion based,Extract key findings from external source,Extract key findings from external source,,,Discussion or opinion based,,Discussion or opinion based,,Discussion or opinion based,,Rephrase for new audience,Discussion or opinion based,Comprehensive guidance text,,,Discussion or opinion based,,,,
Intuition-building,3.5,4,5.0,3.5,3.5,3.0,5,3.5,4.0,5,5.0,5.0,4.5,4,1,5.0,4,4.5,5,3.0,5,5,5,5.0,4.5,4.5,5.0,5.0,5,5,5.0,4.5,5,5,5.0,2,5.0,3.0,3.0,5,4.0,5.0,2,5,3.5,4.0,4,4.5,3.5,5,5.0,1.0,4.0,5.0,4,4,4,4,2,5,5.0,5,4,5,1,4,5,4.0,3.0,5.0,4,5,5,4,5.0,5,5,3,3.5,3.5,5,3.0,5,3.5,1,4.5,5,4,4,5.0,4.0,4,1.0,1.5,4.0,3.0
Clearly Articulated,5.0,5,5.0,3.0,3.5,5.0,4,2.5,3.0,5,5.0,5.0,4.5,4,2,5.0,5,5.0,3,4.5,5,4,4,5.0,5.0,4.5,5.0,5.0,5,4,5.0,5.0,5,3,4.5,1,5.0,4.0,4.0,5,4.5,5.0,5,5,2.5,4.5,5,3.5,4.0,4,5.0,3.0,5.0,5.0,5,5,5,2,4,4,5.0,4,5,4,4,5,4,4.5,3.0,4.5,5,5,5,4,5.0,4,4,5,4.5,4.5,5,4.0,5,4.5,4,5.0,4,5,5,5.0,5.0,5,4.0,4.0,5.0,5.0
Credible,4.5,5,5.0,4.5,5.0,3.5,5,4.5,5.0,5,5.0,5.0,5.0,4,4,5.0,5,5.0,3,4.5,4,4,4,5.0,4.5,4.5,5.0,5.0,4,2,5.0,5.0,4,4,5.0,4,5.0,3.5,5.0,5,5.0,5.0,4,5,2.0,5.0,4,5.0,4.0,4,5.0,2.0,5.0,5.0,5,4,5,5,5,4,4.5,5,4,4,4,5,5,5.0,2.0,5.0,5,4,5,4,5.0,4,5,5,5.0,5.0,4,4.5,4,5.0,4,5.0,4,5,4,4.5,5.0,4,2.0,1.5,5.0,4.5
Scoped,4.5,5,5.0,4.5,3.0,4.5,5,3.5,4.0,2,4.0,4.5,3.5,4,2,5.0,5,4.5,2,4.5,5,5,4,4.0,4.0,4.5,5.0,4.5,5,1,4.0,4.5,4,2,4.5,5,4.5,3.5,5.0,5,4.5,4.0,5,2,3.5,5.0,2,5.0,5.0,4,3.5,4.0,5.0,4.5,5,4,5,4,5,2,5.0,5,5,2,5,5,2,3.5,1.5,5.0,4,5,4,5,4.0,5,5,2,4.5,5.0,4,3.5,5,4.5,5,4.5,4,5,2,4.5,4.5,2,1.5,3.5,5.0,2.0
Impact,2.5,4,3.0,2.0,3.5,3.0,5,3.0,2.0,5,1.5,3.0,3.0,2,4,3.5,4,3.0,4,4.0,5,4,5,3.5,4.0,3.5,3.0,3.5,4,4,4.5,4.0,4,5,4.5,2,3.5,3.0,3.0,5,3.0,3.5,2,1,3.0,4.5,5,3.0,3.0,4,3.0,1.0,3.5,4.5,4,3,4,4,2,1,1.5,4,1,3,1,5,1,3.5,2.5,4.5,4,3,4,4,4.0,3,3,2,2.5,3.5,3,3.0,3,3.5,2,4.0,4,2,4,2.0,4.0,4,2.5,1.0,3.5,1.5
Strictness,4.0,4,4.5,3.0,3.5,4.5,5,1.5,4.5,1,4.0,4.5,3.5,4,2,4.5,5,3.0,2,3.0,5,2,4,3.0,3.0,4.0,4.5,4.0,5,5,3.0,4.0,4,3,3.0,5,4.5,3.0,3.0,4,4.0,4.0,4,4,4.0,3.0,5,4.5,3.0,4,4.5,2.5,3.0,4.5,5,5,4,2,2,4,4.5,1,5,5,2,5,4,4.5,1.0,4.0,1,5,2,5,3.5,5,4,4,4.0,2.5,4,2.5,2,4.0,4,4.0,5,2,2,4.0,4.5,5,1.0,3.5,3.0,2.0
Actionable,4.5,3,5.0,4.5,3.0,5.0,4,4.5,5.0,5,5.0,5.0,4.5,3,5,5.0,5,4.5,3,3.0,5,2,5,4.5,5.0,1.5,5.0,4.5,5,5,4.5,5.0,5,3,4.5,5,3.5,4.5,5.0,3,4.5,5.0,5,2,2.5,4.5,4,5.0,5.0,3,5.0,4.5,4.5,5.0,5,3,5,5,2,5,5.0,1,3,5,5,1,5,4.5,1.5,5.0,4,4,5,2,5.0,3,5,2,5.0,2.0,4,1.5,1,2.0,5,5.0,5,1,5,5.0,4.5,5,3.5,5.0,5.0,5.0
Discoverable,5.0,4,5.0,3.0,4.5,3.5,5,4.5,4.5,5,5.0,5.0,4.5,3,5,5.0,5,5.0,2,4.5,5,2,5,5.0,5.0,4.5,2.5,5.0,4,5,5.0,4.5,5,4,5.0,2,2.5,4.5,4.5,4,4.5,4.0,1,3,4.0,4.5,5,5.0,3.0,4,5.0,4.5,5.0,5.0,2,5,2,1,4,5,5.0,2,5,5,4,2,5,4.5,5.0,2.5,5,5,4,4,5.0,5,4,5,3.0,4.0,5,4.0,4,4.0,2,4.5,5,2,4,5.0,4.0,4,5.0,3.0,5.0,5.0
Relationships,4.5,5,4.5,4.0,4.0,4.0,4,4.0,3.5,4,4.5,4.5,4.0,2,4,4.5,4,4.5,1,4.0,5,4,4,4.0,4.5,4.0,5.0,3.5,4,2,4.0,5.0,4,3,4.0,4,4.5,1.0,4.5,3,4.5,5.0,4,1,1.0,4.5,4,5.0,3.5,4,5.0,1.5,4.5,4.5,4,5,4,4,5,1,3.5,2,5,2,1,4,3,4.0,1.0,5.0,5,5,2,2,5.0,5,2,2,4.0,4.5,5,4.0,4,4.5,4,5.0,5,4,5,4.0,4.5,4,1.5,2.5,4.5,5.0
Updateable,3.0,2,2.5,3.0,5.0,2.5,4,3.5,4.0,2,5.0,5.0,4.5,4,1,5.0,2,4.5,4,5.0,4,5,5,4.0,4.0,2.5,4.0,5.0,5,2,4.0,4.0,4,4,4.0,5,4.0,3.5,4.5,4,4.0,3.0,4,4,3.0,3.5,1,4.5,2.5,4,5.0,4.5,4.5,2.5,5,5,4,4,5,4,5.0,5,5,4,2,5,4,4.5,3.0,4.0,4,5,4,4,5.0,5,5,5,1.5,4.5,5,3.0,4,4.5,4,4.0,4,5,2,5.0,3.0,2,4.5,4.5,4.5,5.0
Permanence,4.5,4,4.5,3.5,4.0,2.5,5,3.5,3.0,1,1.5,1.0,4.0,4,1,1.0,1,3.5,4,3.5,3,1,3,4.5,4.0,4.5,4.5,1.0,1,1,4.5,3.5,3,3,4.5,1,4.5,3.0,4.5,4,3.5,4.0,1,3,1.0,3.5,1,1.0,4.0,4,1.0,1.0,3.5,4.5,1,4,1,1,1,2,1.0,1,4,4,4,1,2,4.0,1.0,4.5,5,4,1,3,1.0,4,1,1,4.0,4.5,5,4.0,4,5.0,1,3.5,2,1,1,1.0,4.5,1,1.0,3.0,3.5,1.0
EX: Intuition-building,,,,,,,,,,Example,,,,,,,,,Example,,Example,,,,,,,,,Counter-example,,,,Example,,,,,,Example,,,,Example,,,,,,Example,,,,,,Generic Text,,,,Example,,,,Example,,,,,,,,,,,,Example,Example,,,,Example,,Example,,,,Example,,,,,,,,,
EX: Clearly Articulated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Example,,,,,Slogan,,,,,Example,,,,,,,,,,,,,
EX: Credible,,,,,,,,,,,,,,,,,,,,,,,Citation,,,,,,,,,,,,,,,,,Citation,,,,Citation,,,,,,,,,,,,,,,,,,,,,,,Citation,,,,,,,,,,Citation,Citation,,,,,,,,,,,,,,,,,,
EX: Scoped,,,,,,,,,,,,,,,,,,,,,Generic Text,,Generic Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generic Text,,,,,,,Generic Text,,,,Generic Text,,,,,,,,,
EX: Impact,,,,,,,,,,,,,,,,,,,Consequences/Benefits statement,,,,Consequences/Benefits statement,,,,,,,,,,,Consequences/Benefits statement,,,,,,,,,,,,,,,,Consequences/Benefits statement,,,,,,,,,,,,,Consequences/Benefits statement,Example,,,,,,,,,Example,,,,,,,,,,,,,,,,,,,,,,,
EX: Strictness,,,,,,,,,,,,,,,,,,,,,Generic Text,,,,,,,,,,,,,Example,,,,,,Consequences/Benefits statement,,,,,,,,,,,,,,,,Consequences/Benefits statement,,,,,,,Generic Text,Example,,,,,,,,Consequences/Benefits statement,,Generic Text,,,,,,,,,,,,,Generic Text,,,,,,,,,
EX: Actionable,,,,,,,,,,,,,,,,,,,,,Example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Example,,,,,,,,,,,,,,,,,,,,,,,,,,,Action or Instruction,,,,,,,,,
EX: Discoverable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX: Relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX: Updateable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX: Permanence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generic Text,,,,,,,,,,,,,,,
Example Present,,N,,,,,N,,,Y,,,,Y,Y,,Y,,Y,,Y,Y,Y,,,,,,Y,N,,,N,Y,,Y,,,,Y,,,N,Y,,,Y,,,Y,,,,,Y,N,Y,Y,Y,Y,,Y,N,Y,N,Y,Y,,,,N,N,Y,Y,,Y,Y,N,,,Y,,Y,,N,,Y,Y,Y,,,Y,,,,
Counter-example Present,,N,,,,,N,,,N,,,,N,N,,N,,N,,Y,Y,N,,,,,,N,Y,,,N,Y,,N,,,,N,,,Y,Y,,,Y,,,N,,,,,N,N,Y,N,N,N,,N,N,Y,N,Y,N,,,,N,N,N,N,,N,Y,N,,,N,,N,,Y,,N,N,Y,,,Y,,,,
Slogan Present,,N,,,,,N,,,Y,,,,N,Y,,Y,,N,,Y,N,N,,,,,,N,N,,,N,N,,N,,,,N,,,N,N,,,Y,,,N,,,,,N,Y,N,N,N,N,,N,Y,N,N,N,N,,,,N,Y,N,N,,Y,N,Y,,,N,,N,,N,,N,N,N,,,Y,,,,
Action Present,,N,,,,,Y,,,Y,,,,N,Y,,Y,,N,,Y,N,Y,,,,,,Y,Y,,,Y,N,,Y,,,,N,,,Y,N,,,Y,,,N,,,,,Y,N,Y,Y,N,Y,,N,N,Y,Y,N,Y,,,,Y,Y,Y,N,,N,Y,N,,,Y,,N,,Y,,Y,N,Y,,,N,,,,
Other Elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
